Transaction ID,Customer ID,Transaction Amount,Transaction Date,Payment Method,Product Category,Quantity,Customer Age,Customer Location,Device Used,IP Address,Shipping Address,Billing Address,Is Fraudulent,Account Age Days,Transaction Hour
c12e07a0-8a06-4c0d-b5cc-04f3af688570,8ca9f102-02a4-4207-ab63-484e83a1bdf0,42.32,2024-03-24 23:42:43,PayPal,electronics,1,40,East Jameshaven,desktop,110.87.246.85,"5399 Rachel Stravenue Suite 718
North Blakeburgh, IL 78600","5399 Rachel Stravenue Suite 718
North Blakeburgh, IL 78600",0,282,23
7d187603-7961-4fce-9827-9698e2b6a201,4d158416-caae-4b09-bd5b-15235deb9129,301.34,2024-01-22 00:53:31,credit card,electronics,3,35,Kingstad,tablet,14.73.104.153,"5230 Stephanie Forge
Collinsbury, PR 81853","5230 Stephanie Forge
Collinsbury, PR 81853",0,223,0
f2c14f9d-92df-4aaf-8931-ceaf4e63ed72,ccae47b8-75c7-4f5a-aa9e-957deced2137,340.32,2024-01-22 08:06:03,debit card,toys & games,5,29,North Ryan,desktop,67.58.94.93,"195 Cole Oval
Port Larry, IA 58422","4772 David Stravenue Apt. 447
Velasquezside, KS 67650",0,360,8
e9949bfa-194d-486b-84da-9565fca9e5ce,b04960c0-aeee-4907-b1cd-4819016adcef,95.77,2024-01-16 20:34:53,credit card,electronics,5,45,Kaylaville,mobile,202.122.126.216,"7609 Cynthia Square
West Brenda, NV 23016","7609 Cynthia Square
West Brenda, NV 23016",0,325,20
7362837c-7538-434e-8731-0df713f5f26d,de9d6351-b3a7-4bc7-9a55-8f013eb66928,77.45,2024-01-16 15:47:23,credit card,clothing,5,42,North Edwardborough,desktop,96.77.232.76,"2494 Robert Ramp Suite 313
Robinsonport, AS 52039","2494 Robert Ramp Suite 313
Robinsonport, AS 52039",0,116,15
5da506fe-d4df-474a-b773-146333f06cfe,03033baf-2bcc-4608-b5b8-9c86976f4948,345.27,2024-02-22 13:49:27,PayPal,toys & games,1,9,Johnsonmouth,desktop,158.48.161.135,"PSC 3832, Box 5265
APO AE 85694","PSC 3832, Box 5265
APO AE 85694",0,251,13
47b35c5d-d4c9-4a7d-a354-cd41596abf67,6a5305a3-b47c-4bdb-91d7-3bf126530e01,53.69,2024-03-21 13:42:10,debit card,toys & games,3,41,New Brendamouth,mobile,93.54.173.138,"272 Tammy Isle Apt. 969
North Michaelmouth, MH 02615","272 Tammy Isle Apt. 969
North Michaelmouth, MH 02615",0,138,13
bf3db41c-25a9-4e6d-b87f-13e5fabe35dd,7300dcf3-df6f-439f-ba13-a98f18b972f3,680.17,2024-01-18 23:25:10,debit card,electronics,5,39,South Tracy,tablet,61.52.160.51,"30470 Amanda Causeway Suite 446
Lake Ashleyland, FM 97864","30470 Amanda Causeway Suite 446
Lake Ashleyland, FM 97864",0,36,23
8ec806af-c367-4dd0-8218-25d3c8c7a346,25c48d47-879f-49b3-b0cc-a7393c28f8af,126.5,2024-02-12 04:01:09,debit card,home & garden,4,35,West Henry,mobile,6.59.118.143,"179 Amy Roads
Ryanland, OH 38054","179 Amy Roads
Ryanland, OH 38054",0,188,4
3b51c8cd-e0d7-48ba-894f-8f77b2cf2f43,41803857-0031-499c-bcaf-bca4e4ef4620,47.18,2024-04-06 22:52:33,bank transfer,toys & games,4,19,Taylorside,mobile,17.185.69.10,"34828 Ronald Oval Suite 620
New Samuelmouth, PR 68222","34828 Ronald Oval Suite 620
New Samuelmouth, PR 68222",0,245,22
147217fc-c355-47ee-907d-e3f9cfc7d6ca,6205d7d8-4f61-4e75-acf3-611adf58bf46,137.74,2024-03-21 12:35:12,PayPal,health & beauty,2,24,East Scottburgh,mobile,129.112.44.110,"672 Chang Ways Suite 224
New Sharonfurt, RI 53839","672 Chang Ways Suite 224
New Sharonfurt, RI 53839",0,256,12
2a2a4e1d-0889-49e8-8a0e-9045072665f9,21dc4cc4-2ffe-4b64-862c-8858950615fc,141.09,2024-03-30 00:23:22,PayPal,health & beauty,1,53,Lake Cynthiafurt,mobile,68.178.249.254,"869 Rivera Plaza
Paulburgh, AK 30060","869 Rivera Plaza
Paulburgh, AK 30060",0,205,0
c2d10730-a7bb-44e6-a2a3-357e8d029259,1dce876f-821a-4af1-95a3-2e270774e421,95.13,2024-01-25 19:42:25,credit card,electronics,4,51,New Elizabethbury,mobile,146.189.28.134,"7565 Patrick Radial
Samanthashire, HI 61678","007 Williams Tunnel Apt. 174
Lake Dylan, MN 22467",0,95,19
326199a2-7e5c-4c76-ab15-805ce119b381,3612d33f-bacf-4337-a819-1bda24058370,260.69,2024-02-19 02:48:24,debit card,electronics,5,15,New Aaronport,tablet,217.121.61.188,"628 Cole Square
Port Mary, VT 38674","0750 Jay Island
South Adam, NC 68936",0,158,2
6dab2ff0-55ea-4fe4-b5cf-e4159276f1e9,c172884f-0844-47c3-9187-2e14d11fc025,70.66,2024-03-22 16:51:05,debit card,home & garden,3,42,West Jamesbury,tablet,161.56.234.197,"1437 Johnson Extensions
New Daniel, PW 39680","1437 Johnson Extensions
New Daniel, PW 39680",0,209,16
f77b607f-230a-4981-bcf2-5db8f26caa1f,a078ac2b-3548-480e-a244-973e116f1229,36.12,2024-03-26 14:40:52,PayPal,toys & games,2,39,East Joshua,tablet,9.65.99.208,"85492 Hill Green
West Alexander, TX 53337","85492 Hill Green
West Alexander, TX 53337",0,301,14
6760f009-e303-42fb-9fc6-a7a349ce3d2e,49304d18-aa35-493e-89bf-a315fdb60fcd,57.91,2024-03-25 17:50:40,debit card,home & garden,3,33,Annamouth,mobile,44.233.186.153,"506 Oliver Isle
Lake Brenda, CT 89746","506 Oliver Isle
Lake Brenda, CT 89746",0,352,17
15547929-bd2d-4517-ad9d-1e6f540d7ebb,116c1649-3f80-4741-a5ae-95ff2a1b266a,10.14,2024-02-13 05:08:03,credit card,home & garden,1,24,Howardchester,mobile,113.105.194.48,"53240 Jackson Run Apt. 522
New Thomas, SD 82462","53240 Jackson Run Apt. 522
New Thomas, SD 82462",0,347,5
9d84b64e-1319-4534-af5f-979e167b9e34,512c4d1d-720b-47e1-b85b-de1008eee5fd,261.52,2024-02-22 11:10:30,credit card,toys & games,1,37,East William,mobile,105.40.136.255,"9829 Randy Tunnel Apt. 857
Amandastad, MT 64023","9829 Randy Tunnel Apt. 857
Amandastad, MT 64023",0,72,11
c2702a20-da3d-42fc-8656-834d1ad13bf5,c7653de4-4178-45aa-8766-0d6669d80fe9,258.23,2024-01-14 22:24:53,PayPal,toys & games,4,41,Arnoldburgh,tablet,56.128.162.105,"4482 Paul Viaduct Suite 147
Johnton, IA 97781","4482 Paul Viaduct Suite 147
Johnton, IA 97781",0,44,22
f675cd27-0c21-4b63-b114-3b4454f53cb7,8bc028c7-d6b5-46ac-8e72-3d20444e908d,438.16,2024-02-28 12:04:16,credit card,electronics,1,34,Jenniferberg,tablet,26.8.155.180,"PSC 8138, Box 0814
APO AA 42879","PSC 8138, Box 0814
APO AA 42879",0,118,12
